sa1_main,x,y,IHAD_quartile,gcc_name_2016
21105128319,145.36571229349212,-37.786298858881885,2,Greater Melbourne
21302134115,144.80716120583537,-37.87254555576096,2,Greater Melbourne
21204146013,145.16869111226532,-37.980751367066425,3,Greater Melbourne
20601110501,144.97174424202774,-37.75948265459049,1,Greater Melbourne
20904143004,145.12716995489038,-37.58838360132401,2,Greater Melbourne
21304135637,144.59283532788268,-37.658207418941686,2,Greater Melbourne
21402138225,145.01518999738818,-38.27134921331586,2,Greater Melbourne
21001122921,144.86650935729523,-37.737203547946166,3,Greater Melbourne
21304135647,144.59130648867898,-37.66335599839173,4,Greater Melbourne
20603111427,144.9011766236608,-37.739070402390134,1,Greater Melbourne
20803119121,145.10078516843984,-37.95497500021381,1,Greater Melbourne
20902120802,144.99904519445252,-37.71774183083622,1,Greater Melbourne
21402138417,144.88890318597043,-38.360137500641734,1,Greater Melbourne
20605113314,144.9826847048896,-37.87142774070493,1,Greater Melbourne
20603111410,144.89539764779036,-37.75251780143149,3,Greater Melbourne
20603111503,144.92911231467468,-37.78370918918098,3,Greater Melbourne
20902120524,145.07192896597167,-37.71132872528352,4,Greater Melbourne
21402137949,145.1673359609869,-38.31689510688769,1,Greater Melbourne
20602111213,145.00995914174544,-37.75614785494877,2,Greater Melbourne
20702142417,145.17979578145145,-37.76492803038839,4,Greater Melbourne
20802117818,145.0311495120266,-37.887931085733115,4,Greater Melbourne
21104127321,145.17855334404842,-37.86074578274553,2,Greater Melbourne
21305136111,144.67447828932075,-37.8505699033259,2,Greater Melbourne
20601110859,144.96205765517144,-37.739866737845844,3,Greater Melbourne
20607114507,145.00239097395857,-37.78831545102873,4,Greater Melbourne
21101144702,145.2843730703251,-37.88204192190751,1,Greater Melbourne
21402138036,145.06250474589635,-38.22071536931623,1,Greater Melbourne
21401137150,145.1529629375521,-38.17387967355324,3,Greater Melbourne
20702115723,145.13366806556155,-37.787859666120816,4,Greater Melbourne
20802117901,145.00290349749733,-37.88056827203884,4,Greater Melbourne
20703116337,145.12173872961532,-37.829740544205066,2,Greater Melbourne
20804119513,145.04464798964474,-37.87221700575574,3,Greater Melbourne
20902120723,145.0161656973751,-37.72238796141959,3,Greater Melbourne
21301134023,144.7883398208276,-37.69286375436048,3,Greater Melbourne
21401137406,145.1841092538838,-38.16568561009459,1,Greater Melbourne
20703116131,145.15904151056662,-37.82172385965474,2,Greater Melbourne
20904122504,145.070138081742,-37.492456367087726,2,Greater Melbourne
21204131826,145.15232920804326,-37.97924234338164,2,Greater Melbourne
20607114443,145.01156033377686,-37.81564776396511,4,Greater Melbourne
21005124602,144.89495375832135,-37.6456513395204,1,Greater Melbourne
20604112113,144.92828874507998,-37.78912114269926,2,Greater Melbourne
20604112320,144.9361051356072,-37.79435393425484,2,Greater Melbourne
21105127842,145.38506051135386,-37.73431471821254,3,Greater Melbourne
21402137717,144.95890421753677,-38.37181831406977,3,Greater Melbourne
21303135127,144.8758403379434,-37.795689941175816,4,Greater Melbourne
20701115409,145.05424981348182,-37.79860893723196,1,Greater Melbourne
21302134326,144.84831108760417,-37.82551145446031,3,Greater Melbourne
21402138401,144.8717213259149,-38.37279495147624,1,Greater Melbourne
20801117116,145.04892556596624,-37.95863411993028,3,Greater Melbourne
21103126730,145.23368055680243,-37.831848981338716,3,Greater Melbourne
21105128106,145.3288136202047,-37.78562261384132,4,Greater Melbourne
21305136817,144.65565456293112,-37.905685477608685,2,Greater Melbourne
21401137110,145.14072424630834,-38.15835854956143,3,Greater Melbourne
20901119740,145.10101751423818,-37.70885317150428,4,Greater Melbourne
21302134324,144.8365442509346,-37.828153233600254,1,Greater Melbourne
21101126008,145.22416672532654,-37.87837109205725,4,Greater Melbourne
